25,25
25,27
25,27
22,25
22,25
25,25
25,25
25,25
25,27
22,25
22,27
22,25
22,27
22,25
25,27
25,25
22,25
22,25
22,25
22,27
22,25
25,27
22,27
25,27
22,27
25,25
25,25
25,27
22,27
22,27
22,25
25,25
22,25
22,25
25,25
25,25
22,25
25,25
25,25
25,25
22,25
25,25
25,25
22,25
22,27
22,25
25,25
25,25
25,25
22,27
22,27
25,27
25,25
22,25
25,25
22,25
25,25
22,25
25,27
25,25
25,25
25,25
25,25
25,25
22,25
22,27
22,27
22,25
22,27
25,27
22,27
22,25
25,25
22,25
25,27
22,27
25,25
22,25
25,25
25,25
25,25
22,27
22,25
22,27
22,25
25,27
25,25
25,25
22,27
25,25
22,25
25,25
25,25
25,25
22,25
22,27
22,27
25,27
25,27
25,25
25,27
25,27
25,27
22,27
22,27
25,25
22,27
22,25
25,27
22,27
22,27
25,25
22,25
22,27
22,25
25,25
25,27
25,27
22,27
22,25
25,27
22,27
22,27
22,27
25,27
22,25
25,25
25,27
25,27
22,27
25,25
22,27
22,25
22,25
25,25
25,27
25,25
25,27
22,27
22,25
25,25
25,27
25,25
22,27
22,27
22,27
25,27
22,25
25,25
25,27
22,27
25,27
25,25
25,27
22,27
25,27
22,27
22,25
22,27
25,25
25,25
25,25
25,27
25,25
25,27
22,25
22,25
22,25
25,25
22,27
22,27
25,25
22,27
25,27
25,25
22,25
22,27
22,25
22,25
22,25
25,27
22,25
22,27
22,27
25,25
22,27
25,27
25,25
22,27
22,25
22,27
22,25
22,25
22,27
22,27
22,27
25,25
25,25
25,25
25,27
